'89 Dennou Kyuusei Uranai
AV Hanafuda Club
AV Jiu Ji Ma Jiang 2
AV Mahjongg
AV Mei Shao Nv Zhan Shi
AV Poker
AV Soccer [!]
B-Wings
Babel no Tou
Baby Boomer
Back to the Future Part 2 & 3
Back to the Future
Backgammon
Bad Dudes
Bad News Baseball
Bad Street Brawler
Baken Hisshou Gaku - Gate In
Bakushou! Star Monomane Shitennou
Bakushou!! Ai no Gekijou
Bakushou!! Jinsei Gekijou 2
Bakushou!! Jinsei Gekijou 3
Bakushou!! Jinsei Gekijou
Bakutoushi Patton-kun
Balda by Alexander Chudov
Balda
Ball Story - Jong Yuk Chuen Suet Fa Jong 2
Ballblazer
Balloon Fight
Balloon Monster
Baltron
Banana
Bananan Ouji no Daibouken
Bandai Golf - Challenge Pebble Beach
Bandit Kings of Ancient China
Bao Qing Tian
Bao Xiao San Guo
Barbie
Barcode World
Bard's Tale 2, The - The Destiny Knight
Bard's Tale, The - Tales of the Unknown
Barker Bill's Trick Shooting
Base Wars - Cyber Stadium Series
Baseball Fighter
Baseball Simulator 1.000
Baseball Stars 2
Baseball Stars
Baseball
Bases Loaded 2
Bases Loaded 3
Bases Loaded 4
Bases Loaded
Batman - Return of the Joker
Batman Returns
Batman
Battle Baseball
Battle Chess
Battle City
Battle Fleet
Battle of Olympus, The
Battle Stadium - Senbatsu Pro Yakyuu
Battle Storm
Battle Tank
Battleship
Battletoads & Double Dragon - The Ultimate Team
Battletoads
Be-Bop-Highschool - Koukousei Gokuraku Densetsu
Beauty and the Beast
Bee 52
Beetlejuice
Berzerk
Best Keiba - Derby Stallion
Best of the Best - Championship Karate
Best Play Pro Yakyuu '90
Best Play Pro Yakyuu
Bible Adventures
Bible Buffet
Big Bird's Hide & Speak
Big Challenge! Dogfight Spirit
Big Challenge! Go! Go! Bowling
Big Challenge! Gun Fighter
Big Challenge! Juudou Senshuken
Big Nose Freaks Out
Big Nose the Caveman
Bigfoot
Bikkuriman World - Gekitou Sei Senshi
Bill & Ted's Excellent Video Game Adventure
Bill Elliott's NASCAR Challenge
Bin Guo 75 (Sachen)
Binary Land
Bio Force Ape
Bio Hazard
Bio Miracle Bokutte Upa (AKA Mario Baby) (Chinese)
Bio Miracle Bokutte Upa
Bio Senshi Dan - Increaser Tono Tatakai
Bionic Commando
Bird Week
Bishojou Control
Bishojou Mahjong Club
Bishojou SF Alien Battle
Bishoujo Alien Battle
Bishoujo Control
Bishoujo Kachinuki Renju - Gomoku Narabe
Bishoujo Mahjong Club
Bishoujo Sexy Derby
Bishoujo Sexy Puzzle
Bishoujo Sexy Slot
Bishoujo Shashinkan - Moving School
Bishoujo Shashinkan - Studio Cut
Black Bass USA, The
Black Bass, The
Blackjack
Blade Buster
Blades of Steel
Blaster Master
Blodia Land - Puzzle Quest
Bloody Warriors - Shan-Go no Gyakushuu
Bloque Magico, El
Blue Marlin, The
Blues Brothers, The
BMX Simulator
Bo Jackson Baseball
Bodyconquest I - Abakareshi Musumetachi
Bokosuka Wars
Bomberman 2
Bomberman
BombSweeper by SnowBro
Bonk's Adventure
Booby Kids
Boogerman
Booky Man
Boulder Dash
Boy and His Blob, A - Trouble on Blobolonia
Brain Series 12-in-1 [!]
Bram Stoker's Dracula
Break Time - The National Pool Tour
BreakThru
Breeder
Brilliant Com Pack 2
Brush Roller
Bubble Bobble Part 2
Bubble Bobble
Bucky O'Hare
Bugs Bunny Birthday Blowout, The
Bugs Bunny Crazy Castle, The
BugTris
Bump'n'Jump
Burai Fighter
BurgerTime
Business Wars
Cabal
Cadillac
Caesars Palace
California Games
Capcom OST
Captain America and The Avengers
Captain Ed
Captain Planet and The Planeteers
Captain Silver
Captain Skyhawk
Captain Tsubasa Vol. 2 - Super Striker
Carpet Shark
Casino de Pink
Casino Derby
Casino Kid 2
Casino Kid
Castelian
Castle of Deceit
Castle of Dragon
Castle Quest
Castlequest
Castlevania 2 - Simon's Quest
Castlevania 3 - Dracula's Curse
Castlevania
Caveman Games
Chack'n Pop
Challenge of the Dragon (Color Dreams)
Challenge of the Dragon (Sachen)
Challenger
Championship Bowling
Championship Lode Runner
Championship Pool
Championship Rally
Chaos World
Chase
Cheetahmen 2
cheril-the-goddess
Chess Academys
Chessmaster, The
Chester Field - Ankoku Shin e no Chousen
Chibi Maruko-Chan - Uki Uki Shopping
Chiisana Obake - Acchi Socchi Kocchi
Chik Bik Ji Jin - Saam Gwok Ji
Chiller (HES) [!]
Chiller
Chinese Checkers
Chip 'n Dale Rescue Rangers 2
Chip 'n Dale Rescue Rangers
Chitei Tairiku Ordola
Chiyonofuji no Ooichou
Choplifter
Chou Hen
Choujikuu Yousai - Macross
Choujin Sentai - Jetman
Chubby Cherub
Chuugoku Janshi Story - Tonpuu
Chuugoku Senseijutsu
Chuugoku Taitei
Chuuka Taisen
Circus Caper
Circus Charlie
City Adventure Touch - Mystery of Triangle
City Connection
Clash at Demonhead
Classic Concentration
Cleopatra no Mahou
Cliffhanger
Clu Clu Land
Cobra Command
Cobra Mission
Cobra Triangle
Cocona World
Cocoron
Code Name - Viper
Color A Dinosaur
Colorful Dragon (Sachen)
Colorful Dragon
Colour 2001 Streetfighter 2 [!]
Columbus - Ougon no Yoake
Commando
Conan - The Mysteries of Time
Conflict
Conquest of the Crystal Palace
Contra Force
Contra Spirits
Contra
Cool World
Corre Benny
Cosmic Epsilon
Cosmic Wars
Cosmo Police Galivan
Cosmos Cop
Cowboy Kid
Crackout
Crash 'n the Boys - Street Challenge
Crayon Shin-Chan - Ora to Poi Poi
Crayon Shin-Chan
Crazy Climber
Creatom
Crime Busters
Crisis Force
Cross Fire
Crystal Mines
Crystalis
Cvetnye Linii (Color Lines)
Cyberball
Cybernoid - The Fighting Machine
D-Pad Hero 2
D-Pad Hero
Dai Meiro - Meikyuu no Tatsujin
Dai-2-Ji - Super Robot Taisen
Daikaijuu Deburas
Daiku no Gen San 2 - Akage no Dan no Gyakushuu
Daisenryaku
Daiva - Imperial of Nirsartia
Dance Aerobics
Dancing Blocks
Dandy - Zeuon no Fukkatsu
Danny Sullivan's Indy Heat
Dark Lord
Darkman
Darkseed
Darkwing Duck
Dash Galaxy in the Alien Asylum
Datach - Battle Rush - Build Up Robot Tournament
Datach - Dragon Ball Z - Gekitou Tenkaichi Budou Kai
Datach - J League Super Top Players
Datach - SD Gundam - Gundam Wars
Datach - Ultraman Club - Supokon Fight!
Date de Blackjack
Day Dreamin' Davey
Days of Thunder
Dead Zone
Deadly Towers
Death Race
Deathbots
Deblock
Decathlon
Deep Dungeon 3 - Yuushi e no Tabi
Deep Dungeon 4 - Kuro no Youjutsushi
Deep Dungeon
Defender 2
Defender of the Crown
Defenders of Dynatron City
Deja Vu
Demo Boy 2
Demon Sword
Derby Stallion - Zenkoku Han
Desert Commander
Destination Earthstar
Destiny of an Emperor
Destructor, El
Devil Man
Devil World
Dezaemon
Dian Shi Ma Li (Mario Lottery)
Dian Shi Ma Li
Dick Tracy
Die Hard
Dig Dug 2 - Trouble in Paradise
Dig Dug
Digger - The Legend of the Lost City
Digital Devil Monogatari - Megami Tensei
Dirty Harry - The War Against Drugs
Dirty Pair - Project Eden
Dizzy The Adventurer
Doctor PC Jr. - Xue Si Dian Nao
Dokuganryuu Masamune
Don Doko Don 2
Don Doko Don
Donald Land
Donald Magic
Dong Dong Nao 2 - Guo Zhong Ying Wen (Middle School English 2) (Sachen)
Dong Dong Nao 2 - Guo Zhong Ying Wen (Middle School English 2)
Donkey Kong 3
Donkey Kong Classics
Donkey Kong Jr. + Jr. Lesson
Donkey Kong Jr. Math
Donkey Kong Jr
Donkey Kong
Dooly Bravo Land
Door Door
DoraeBomb
Doraemon - Giga Zombie no Gyakushuu
Doraemon
Doremikko
Double Dare
Double Dragon 2 - The Revenge
Double Dragon 3 - The Sacred Stones
Double Dragon
Double Dribble
Double Moon Densetsu
Dough Boy
Downtown - Nekketsu Koushin Kyoku - Soreyuke Daiundoukai
Downtown Special - Kunio-kun no Jidaigeki Dayo Zenin Shuugou!
Dr. Chaos - Jigoku no Tobira
Dr. Jekyll and Mr. Hyde
Dr. Mario
Drac's Night Out
Dragon Ball - Dai Maou Fukkatsu
Dragon Ball 3 - Gokuu Den
Dragon Ball Z - Kyoushuu! Saiya Jin
Dragon Ball Z - Super Butouden 2
Dragon Ball Z 2 - Gekishin Freeza!!
Dragon Ball Z 3 - Ressen Jinzou Ningen
Dragon Ball Z Gaiden - Saiya Jin Zetsumetsu Keikaku
Dragon Buster 2 - Yami no Fuuin
Dragon Buster
Dragon Fighter
Dragon Power
Dragon Scroll - Yomigaerishi Maryuu
Dragon Spirit - The New Legend
Dragon Warrior 2
Dragon Warrior 3
Dragon Warrior 4
Dragon Warrior
Dragon Wars
Dragon's Lair
Dragon, The
Dream Master
Dreamworld Pogie
Driar
Drop Zone
Dropoff 7 Demo
Druid - Kyoufu no Tobira
Duck Hunt
Duck
DuckTales 2
DuckTales
Dudes With Attitude
Dungeon Kid
Dungeon Magic - Sword of the Elements
Dusty Diamond's All-Star Softball
DVD Screensaver for NES FC
Dynamite Bowl
Dynowarz - The Destruction of Spondylus
EarthWorm Jim 2 (KaSing)
EarthWorm Jim 2 (SuperGame)
EarthWorm Jim 3
Education Games 18-in-1
Educational Computer 2000
Egger Land - Meikyuu no Fukkatsu
Egger Land - Souzou e no Tabidachi
Egger Land
Egypt
El Monstruo de Los Globos
Electrician
Elevator Action
Eliminator Boat Duel
Elite
Elysion
Emi-chan no Moero Yakyuuken!
Emoyan no 10 Bai Pro Yakyuu
English Word Blaster V1.0
Erika to Satoru no Yume Bouken
Erunaaku no Zaihou
Escape From Atlantis, The
Esper Bouken Tai
Esper Dream 2 - Aratanaru Tatakai
Esper Dream
Excitebike
Exciting Baseball
Exciting Basket
Exciting Billiard
Exciting Boxing
Exciting Soccer - Konami Cup
Exed Exes
Exerion
Exodus - Journey to the Promised Land
Exploding Fist
F-1 Race
F-117A Stealth Fighter
F-15 City War (Gulk Video)
F-15 City War
F-15 Strike Eagle
F1 Circus
Facemaker (Dr. PC. Jr.) (Chinese)
Facemaker
Fairy Pinball - Yousei Tachi no Pinball
Fairytale
Falsion
Famicom Doubutsu Seitai Zukan! - Katte ni Shirokuma - Mori wo Sukue no Maki!
Famicom Grand Prix - F1 Race
Famicom Grand Prix 2 - 3D Hot Rally
Famicom Igo Nyuumon
Famicom Jump - Eiyuu Retsuden
Famicom Jump 2 - Saikyou no 7 Nin
Famicom Meijin Sen
Famicom Mukashibanashi - Shin Onigashima - Kouhen
Famicom Mukashibanashi - Shin Onigashima - Zenpen
Famicom Mukashibanashi - Yuuyuuki - Kouhen
Famicom Mukashibanashi - Yuuyuuki - Zenpen
Famicom Shougi - Ryuuousen
Famicom Tantei Club - Kieta Koukeisha - Kouhen
Famicom Tantei Club - Kieta Koukeisha - Zenpen
Famicom Tantei Club Part 2 - Ushiro ni Tatsu Shoujo - Kouhen
Famicom Tantei Club Part 2 - Ushiro ni Tatsu Shoujo - Zenpen
Famicom Top Management
Famicom Wars
Famicom Yakyuu Ban
Family BASIC
Family Circuit '91
Family Circuit
Family Composer
Family Feud
Family Jockey
Family Mahjong 2 - Shanghai e no Michi
Family Mahjong
Family Quiz - 4-nin wa Rival
Family School
Family Tennis
Family Trainer 1 - Athletic World
Family Trainer 2 - Running Stadium
Family Trainer 3 - Aerobics Studio
Family Trainer 4 - Jogging Race
Family Trainer 5 - Meiro Daisakusen
Family Trainer 6 - Manhattan Police
Family Trainer 7 - Daiundoukai
Family Trainer 8 - Totsugeki! Fuuun Takeshi Jou
Family Trainer 9 - Fuuun!! Takeshi Jou 2
Famista '89 - Kaimaku Han!!
Famista '90
Famista '91
Famista '92
Famista '93
Famista '94
Fan Kong Jing Ying
Fantastic Adventures of Dizzy, The
Fantasy Zone (J)
Fantasy Zone (U)
Faria - A World of Mystery & Danger!
Fatal Fury 2
Faxanadu
Felix the Cat by Dragon Co
Felix the Cat
Ferrari - Grand Prix Challenge
Fester's Quest
Field Combat
Fighting Hero 3
Fighting Hero
Fighting Road
Final Combat
Final Command - Akai Yousai
Final Fantasy 2
Final Fantasy 3
Final Fantasy I & 2
Final Fantasy 7
Final Fantasy
Final Fight 3 [!]
Final Fight 3
Final Lap
Fire 'n Ice
Fire Bam
Fire Dragon
Fire Emblem - Ankoku Ryuu to Hikari no Tsurugi
Fire Emblem Gaiden
Fire Hawk
Fire Rock
Firehouse Rescue
Fist of the North Star
Flappy
flappybird
Fleet Commander
Flight of the Intruder
Flintstones, The - The Rescue of Dino & Hoppy
Flintstones, The - The Surprise at Dinosaur Peak!
Flipull - An Exciting Cube Game
Flying Dragon - The Secret Scroll
Flying Hero
Flying Warriors
Fong Shen Bang - Zhu Lu Zhi Zhan
Formation Z
Formula 1 Sensation
Formula One - Built To Win
Frankenstein - The Monster Returns
Free Fall
Freedom Force
Friday the 13th
From Below
Front Line
Fun House
Fushigi no Umi no Nadia
Fuuun Shourin Ken
Fuzzical Fighter
G.I. Joe - The Atlantis Factor
G.I. Joe
Gaiapolis
Galactic Crusader (Sachen)
Galaga - Demons of Death
Galaxian
Galaxxon - The Third War
Galaxy 5000
Gall Force - Eternal Story
Gambler Jiko Chuushin Ha - Mahjong Game
Gambler Jiko Chuushin Ha 2
Game Genie
Game Master Kid
Game no Tatsujin - Money Wars
Game Party
Ganbare Goemon 2
Ganbare Goemon Gaiden - Kieta Ougon Kiseru
Ganbare Goemon Gaiden 2 - Tenka no Zaihou
Ganbare Goemon! - Karakuri Douchuu
Ganbare Pennant Race!
Ganso Saiyuuki - Super Monkey Daibouken
Garfield - A Week of Garfield
Gargoyle's Quest 2 - The Demon Darkness
Garou Densetsu 2 [a1]
Garou Densetsu 2 [a2]
Garou Densetsu 2
Garou Densetsu Special
Gauntlet 2
Gauntlet
Ge Ge Ge no Kitarou 2 - Youkai Gundan no Chousen
Geimos
Gekitotsu Yonku Battle
Gemfire
Genghis Khan
Genpei Touma Den - Computer Boardgame
George Foreman's KO Boxing
German Tanteidan MarinGumi - Maruhi Jigomar Sousa File
Getsufuu Maden
Ghostbusters 2
Ghostbusters
Ghosts 'N Goblins
Ghoul School
Gimmi a Break - Shijou Saikyou no Quiz Ou Ketteisen 2
Gimmi a Break - Shijou Saikyou no Quiz Ou Ketteisen
Ginga Denshou - Galaxy Odyssey
Ginga Eiyuu Densetsu
Ginga no Sannin
GK-47-in-1
GLITCHNES
Gluk the Thunder Warrior
Go! Benny!
Goal! Two
Goal!
Godzilla - Monster of Monsters!
Godzilla 2 - War of the Monsters
Gokuraku Yuugi - Game Tengoku
Gold Medal Challenge '92
Golf '92, The
Golf - Japan Course
Golf - Special Course
Golf - US Course
Golf Club - Birdy Rush
Golf Grand Slam
Golf Japan Course - Nyuushou
Golf Ko Open
Golf, The - Bishoujo Classic
Golf
Golgo 13 - Top Secret Episode
Gomoku Narabe Renju
Gomoku Narabe
Goonies 2, The
Goonies, The
Gorby no Pipeline Daisakusen
Gorilla Man, The
Gotcha! - The Sport!
Gozonji - Yaji Kita Chin Douchuu
Gradius 2
Gradius
Gran Aventura Submarina, La
Grand Master
Great Battle Cyber
Great Deal
Great Waldo Search, The
Great Wall, The
Green Beret
Greg Norman's Golf Power
Gremlins 2 - The New Batch
Gu Mu Li Ying
Guardian Legend, The
Guerrilla War
Gumshoe
Gun-Nac
Gun.Smoke
Gyrodine
Gyromite
Gyruss
Haja no Fuuin
Halley Wars
Hammerin' Harry
Hana no Star Kaidou
Hanafuda Yuukyou Den - Nagarebana Oryuu
Hao-kun no Fushigi na Tabi
Happy Camper (Watermarked by RetroUSB-NintendoAge)
Happy Pairs
Harlem Globetrotters
Harry's Legend
Hatris
Hayama Reiko no Date de Blackjack
Hayauchi Sokutei Game
Hayauchi Super Igo
Heavy Barrel
Heavy Shreddin'
Heisei Tensai Bakabon
Hell Fighter
Hello Kitty no Ohanabatake
Hello Kitty World
Herakles no Eikou - Toujin Makyou Den
Herakles no Eikou 2 - Titan no Metsubou
Hero Quest
Hi no Tori - Houou Hen - Gaou no Bouken
Higemaru Makaijima - Nanatsu no Shima Daibouken
High Speed
HIK 7-in-1
Hikari Genji - Roller Panic
Hikari no Senshi Photon - The Ultimate Game on Planet Earth
Hikaru Genji - Roller Panic
Hirake! Ponkikki
Hiryuu no Ken 2 - Dragon no Tsubasa
Hiryuu no Ken 3 - 5 Nin no Ryuu Senshi
Hiryuu no Ken Special - Fighting Wars
Hissatsu Doujou Yaburi
Hissatsu Shigoto Nin
Hit Marmot
Hit the Ice
Hogan's Alley
Hokkaidou Rensa Satsujin - Okhotsk ni Kiyu
Hokuto no Ken 3 - Shin Seiki Souzou Seiken Restuden
Hokuto no Ken 4 - Shichisei Haken Den - Hokuto Shinken no Kanata e
Hokuto no Ken
Hollywood Squares
Holy Diver
Home Alone 2 - Lost in New York
Home Alone
Home Run Nighter '90 - The Pennant League
Home Run Nighter - Pennant League!!
Hon Shougi - Naitou 9 Dan Shougi Hiden
Honoo no Doukyuuji - Dodge Danpei 2
Honoo no Doukyuuji - Dodge Danpei
Hook
Hoops
Hoshi wo Miru Hito
Hot Seat Harry
Hot Slot
Hototogisu
Hottaaman no Chitei Tanken
Huang Di - Zhuo Lu Zhi Zhan
Hudson Hawk
Huge Insect
Hunt for Red October, The
HVC Kensa Cassette Controller Test
Hyakkiyakou
Hyaku no Sekai no Monogatari - The Tales on a Watery Wilderness
Hydlide 3 - Yami Kara no Houmonsha
Hydlide
I Am a Teacher - Super Mario no Sweater
I Am a Teacher - Teami no Kiso
I Can Remember
I Love Softball
Ice Climber
Ice Hockey
Ide Yousuke Meijin no Jissen Mahjong 2
Ide Yousuke Meijin no Jissen Mahjong
Idol Hakkenden
Idol Hotline - Nakayama Miho no Tokimeki High School
Igo - Kyuu Roban Taikyoku
Igo Meikan
Igo Shinan '91
Igo Shinan '92
Igo Shinan '93
Igo Shinan '94
Igo Shinan
Ikari 3 - The Rescue
Ikari Warriors 2 - Victory Road
Ikari Warriors
Ike Ike! Nekketsu Hockey-bu - Subette Koronde Dai Rantou
Ikinari Musician
Ikki
Image Fight
Immortal, The
Impossible Mission 2
Incredible Crash Dummies, The
index.jsIndiana Jones and the Last Crusade (Taito)
Indiana Jones and the Last Crusade (UBI Soft)
Indiana Jones and the Temple of Doom
Indora no Hikari
Infiltrator
Insector X
International Cricket (A)
International Cricket (Unl)
Iron Tank - The Invasion of Normandy
Ironsword - Wizards & Warriors 2
Isaki Shuugorou no Keiba Hisshou Gaku
Ishidou
Ishin no Arashi
Isolated Warrior
Itadaki Street - Watashi no Mise ni Yottette
Ivan Ironman Stewart's Super Off-Road
J-League Fighting Soccer - The King of Ace Strikers
J-League Winning Goal
Jaaman Tanteidan - Matonarikumi
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf
Jackal
Jackie Chan's Action Kung Fu
Jackpot
Jajamaru Gekimaden - Maboroshi no Kinmajou
Jajamaru Ninpou Chou
Jajamaru no Daibouken
James Bond Jr
Janggun ui Adeul (General's Son)
Janggun-ui Adeul
Jarinko Chie - Bakudan Musume no Shiawase Sagashi
Jaws
Jeopardy!
Jesus - Kyoufu no Bio Monster
jetpaco
Jetsons, The - Cogswell's Caper!
Jewelry Multi Cart
Jikai Shounen Met Mag
Jikuu Yuuden - Debias
Jim Henson's Muppet Adventure - Chaos at the Carnival
Jimmy Connor's Tennis
Jin Yong Qun Xia Zhuan - Shu Jian Jiang Shan
JJ - Tobidase Daisakusen Part 2
Joe & Mac - Caveman Ninja
John Elway's Quarterback
Jongbou
Jordan Vs Bird - One On One
Joshua & the Battle of Jericho
Journey to Silius
Journey to the West
Joust
Jovial Race (Sachen) [!]
Jovial Race
Joy Mech Fight
Joypad Test Cartridge
Jumbo Ozaki no Hole in One Professional
Jumpin' Kid - Jack to Mame no Ki Monogatari
Jungle Book, The
Jurassic Boy 2
Jurassic Park
Just Breed
Juuouki
Juvei Quest
Kabuki - Quantum Fighter
Kabushiki Doujou
Kaettekita! Gunjin Shougi - Nanya Sore!
Kagerou Densetsu
Kaguya Hime Densetsu
Kaijuu Monogatari
Kaiketsu Yanchamaru 2 - Karakuri Land
Kaiketsu Yanchamaru 3 - Taiketsu! Zouringen
Kalin no Tsurugi
Kamen no Ninja - Akakage
Kamen Rider Black - Taiketsu Shadow Moon
Kamen Rider Club - Gekitotsu Shocker Land
Kamen Rider SD - Guranshokkaa no Yabou
Kanshakudama Nage Kantarou no Toukaidou Gojuusan Tsugi
Karakuri Kengou Den - Musashi Road - Karakuribito Hashiru!
Karaoke Studio
Karate Champ
Karate Kid, The
Karateka
Karnov
Kart Fighter
Kattobi! Douji
Kawa no Nushi Tsuri
Keiba Simulation - Honmei
Kekkyoku Nankyoku Daibouken
Kero Kero Keroppi no Daibouken 2 - Donuts Ike ha Oosawagi!
Kero Kero Keroppi no Daibouken
Keroppi to Keroriinu no Splash Bomb!
Kick and Run
Kick Challenger - Air Foot - Yasai no Kuni no Ashi Senshi
Kick Master
Kick Off
Kickle Cubicle
Kid Icarus
Kid Klown
Kid Kool and the Quest for the 7 Wonder Herbs
Kid Niki - Radical Ninja
Kidou Keisatsu Patlabor
Kieta Princess
Kiki Kaikai - Dotou Hen
Kind Gal's
King Kong 2 - Ikari no Megaton Punch
King Neptune's Adventure
King of Fighters 96, The
King of Fighters 96
King of Fighters 97, The
King of Fighters 99
King of Kings - The Early Years
King of Kings
King's Knight
King's Quest 5
Kings of the Beach
Kinnikuman - Kinnikusei Oui Soudatsusen
Kirby's Adventure
Kiteretsu Dai Hyakka
Kitty's Catch
Kiwi Kraze - A Bird-Brained Adventure!
Kkachi-wa Norae Chingu
Klash Ball
Klax
Knight Lore - Majou no Ookami Otoko
Knight Move
Knight Rider
Kobayashi Hitomi no Hold Up
Kobayashi Hitomi Shocking Tennis
Koko Adventure
Konami Hyper Soccer
Konamic Ice Hockey
Konamic Tennis
Koneko Monogatari - The Adventures of Chatran
Kouryuu Densetsu Villgust Gaiden
Koushien
Krazy Kreatures
Krion Conquest, The
Krusty's Fun House
Kujaku Ou 2
Kujaku Ou
Kung Fu
Kung-Fu Heroes
Kunio-kun no Nekketsu Soccer League
Kurogane Hiroshi no Yosou Daisuki! Kachiuma Densetsu
Kyatto Ninden Teyandee
Kyonshiizu 2
Kyouryuu Sentai Juuranger
Kyuukyoku Harikiri Koushien
Kyuukyoku Harikiri Stadium 3
Kyuukyoku Harikiri Stadium
L'Empereur
Labyrinth
Lagrange Point
Lan Master
Laser Invasion
Last Action Hero
Last Armageddon
Last Ninja, The
Last Starfighter, The
Law of the West
Lawn Mower
Layla
Lee Trevino's Fighting Golf
Legacy of the Wizard
Legend of Kage, The
Legend of Prince Valiant, The
Legend of Robin Hood, The
Legend of the Ghost Lion
Legend of Zelda, The
Legendary Wings
Legends of the Diamond - The Baseball Championship Game
Lemmings
Lethal Weapon (Ch)
Lethal Weapon (UE)
Life Force
LIKO Study Cartridge 3-in-1
Lin Ze Xu Jin Yan
Linus Spacehead's Cosmic Crusade
Lion King 3, The - Timon and Pumba
Lion King, The (E)
Lion King, The (Unl)
Lipstick #1 - Lolita Hen
Lipstick #2 - Joshi Gakusei Hen
Lipstick #3 - OL Hen
Lipstick #4 - Hakui no Tenshi Hen
Lipstick #5 - Stewardess Hen
Little League Baseball - Championship Series
Little Magic
Little Mermaid, The
Little Nemo - The Dream Master
Little Ninja Brothers
Little Red Hood (HES) [!]
Little Red Hood (Xiao Hong Mao) (Joy Van)
Little Red Hood
Little Samson
Locksmith
Lode Runner
Lone Ranger, The
Loopz
Lost Word of Jenny
Lot Lot
Low G Man - The Low Gravity Man
Lu Ye Xian Zong (Chinese)
Lu Ye Xian Zong
Lucky 777
Lunar Pool
Lupin Sansei - Pandora no Isan
Lutter
M.C. Kids
M.U.L.E.
M.U.S.C.L.E.
M82 Game Selectable Working Product Display
Mach Rider
Mad Max
Madou Senki - Deep Dungeon
Maerchen Veil
Mafat Conspiracy - Golgo 13
Magic Block (Mega Soft)
Magic Block
Magic Bubble (DreamGEAR)
Magic Bubble
Magic Candle, The
Magic Carpet 1001
Magic Cubes
Magic Darts
Magic Jewelry 2
Magic Jewelry
Magic Johnson's Fast Break
Magic Kid Googoo
Magic Mathematic
Magic Mathematics (C.A.I) (Sachen) [!]
Magic of Scheherazade, The
Magical Taruruuto-kun - Fantastic World!!
Magical Taruruuto-kun 2 - Mahou Daibouken
Magician
Magma Project - Hacker
Magmax
Magnum Kiki Ippatsu - Empire City - 1931
Maharaja
Mahjang Companion
Mahjong Block
Mahjong Club - Nagatachou
Mahjong Companion [!]
Mahjong Goraku - Bishoujo Meijinsen
