Bible Adventures
Bump'n'Jump
Burai Fighter
BurgerTime
Business Wars
B-Wings
Alien 3
Cabal
Cadillac
Caesars Palace
California Games
Capcom OST
Alien Syndrome
Captain America and The Avengers
Captain Ed
Aliens - Alien 2
Captain Planet and The Planeteers
Captain Silver
Captain Skyhawk
Captain Tsubasa Vol. II - Super Striker
Carpet Shark
Casino de Pink
Casino Derby
Casino Kid
Casino Kid 2
Castelian
Castle of Deceit
Castle of Dragon
Castle Quest
Castlequest
Castlevania
Castlevania II - Simon's Quest
Alpha Mission
Castlevania III - Dracula's Curse
Caveman Games
Chack'n Pop
Challenge of the Dragon (Color Dreams)
All-Pro Basketball
Challenge of the Dragon (Sachen)
Challenger
Alter Ego
Championship Bowling
Championship Lode Runner
Amagon
Championship Pool
America Daitouryou Senkyo
Championship Rally
Chaos World
American Dream
Chase
Cheetahmen II
Chess Academys
Chessmaster, The
Chester Field - Ankoku Shin e no Chousen
Chibi Maruko-Chan - Uki Uki Shopping
Chiisana Obake - Acchi Socchi Kocchi
Chik Bik Ji Jin - Saam Gwok Ji
Chiller
Chinese Checkers
Chip 'n Dale Rescue Rangers
Chip 'n Dale Rescue Rangers 2
Chitei Tairiku Ordola
Chiyonofuji no Ooichou
Choplifter
Chou Hen
Choujikuu Yousai - Macross
Choujin Sentai - Jetman
Chubby Cherub
Chuugoku Janshi Story - Tonpuu
Angry Birds
Chuugoku Senseijutsu
Chuugoku Taitei
Chuuka Taisen
Circus Caper
Circus Charlie
City Adventure Touch - Mystery of Triangle
City Connection
American Gladiators
Clash at Demonhead
Classic Concentration
Anticipation
Cleopatra no Mahou
Cliffhanger
Clu Clu Land
Cobra Command
Cobra Mission
Cobra Triangle
Cocona World
Cocoron
Ao no Senritsu
Code Name - Viper
Color A Dinosaur
Colorful Dragon
Columbus - Ougon no Yoake
Commando
Conan - The Mysteries of Time
Conflict
Conquest of the Crystal Palace
Contra
Contra Force
Contra Spirits
Cool World
Corre Benny
Cosmic Epsilon
Cosmic Wars
Arch Rivals - A Basketbrawl!
Cosmo Police Galivan
Cosmos Cop
Cowboy Kid
Crackout
Crash 'n the Boys - Street Challenge
Crayon Shin-Chan
Ankoku Shinwa - Yamato Takeru Densetsu
Crayon Shin-Chan - Ora to Poi Poi
Crazy Climber
Creatom
Crime Busters
Crisis Force
Cross Fire
Crystal Mines
Crystalis
Cvetnye Linii (Color Lines)
Cyberball
Aoki Ookami to Shiroki Mejika - Genchou Hishi
Cybernoid - The Fighting Machine
Dai Meiro - Meikyuu no Tatsujin
Dai-2-Ji - Super Robot Taisen
Archon
Daikaijuu Deburas
Daiku no Gen San 2 - Akage no Dan no Gyakushuu
Daisenryaku
Daiva - Imperial of Nirsartia
Dance Aerobics
Dancing Blocks
Dandy - Zeuon no Fukkatsu
Danny Sullivan's Indy Heat
Dark Lord
Darkman
Darkseed
Darkwing Duck
Dash Galaxy in the Alien Asylum
America Oudan Ultra Quiz - Shijou Saidai no Tatakai
Datach - Battle Rush - Build Up Robot Tournament
Datach - Dragon Ball Z - Gekitou Tenkaichi Budou Kai
Apple Town Monogatari - Little Computer People
Datach - J League Super Top Players
Arctic
Datach - SD Gundam - Gundam Wars
Datach - Ultraman Club - Supokon Fight!
Arkanoid
Date de Blackjack
Argus
Day Dreamin' Davey
Days of Thunder
Dead Zone
Deadly Towers
Death Race
Deathbots
Deblock
Decathlon
Deep Dungeon
Arkanoid II
Deep Dungeon III - Yuushi e no Tabi
Deep Dungeon IV - Kuro no Youjutsushi
Defender II
Defender of the Crown
Defenders of Dynatron City
Deja Vu
Demo Boy 2
Demon Sword
Derby Stallion - Zenkoku Han
Desert Commander
Destination Earthstar
Destiny of an Emperor
Destructor, El
Devil Man
Devil World
Dezaemon
Dian Shi Ma Li
Dick Tracy
Die Hard
Dig Dug
Arkista's Ring
Dig Dug II - Trouble in Paradise
Digger - The Legend of the Lost City
Digital Devil Monogatari - Megami Tensei
Arm Wrestling Classic, The
Dirty Harry - The War Against Drugs
Dirty Pair - Project Eden
Armadillo
Dizzy The Adventurer
Doctor PC Jr. - Xue Si Dian Nao
Armana no Kiseki
Dokuganryuu Masamune
Don Doko Don
Don Doko Don 2
Donald Land
Artelius
Asmik-kun Land
Dong Dong Nao II - Guo Zhong Ying Wen (Middle School English II)
Donkey Kong
Donkey Kong 3
Aspic - Majaou no Noroi
Donkey Kong Classics
Donkey Kong Jr
Donkey Kong Jr. + Jr. Lesson
Asterix
Donkey Kong Jr. Math
Dooly Bravo Land
Door Door
Doraemon
Astro Fang - Super Machine
Doraemon - Giga Zombie no Gyakushuu
Doremikko
Double Dare
Double Dragon
Double Dragon II - The Revenge
Double Dragon III - The Sacred Stones
Double Dribble
Astro Robo Sasa
Double Moon Densetsu
Dough Boy
Downtown - Nekketsu Koushin Kyoku - Soreyuke Daiundoukai
Downtown Special - Kunio-kun no Jidaigeki Dayo Zenin Shuugou!
D-Pad Hero
D-Pad Hero 2
Dr. Chaos - Jigoku no Tobira
Dr. Jekyll and Mr. Hyde
Dr. Mario
Drac's Night Out
Dragon Ball - Dai Maou Fukkatsu
Dragon Ball 3 - Gokuu Den
Astyanax
Dragon Ball Z - Kyoushuu! Saiya Jin
Athena
Dragon Ball Z - Super Butouden 2
Dragon Ball Z Gaiden - Saiya Jin Zetsumetsu Keikaku
Dragon Ball Z II - Gekishin Freeza!!
Dragon Ball Z III - Ressen Jinzou Ningen
Dragon Buster
Athletic World
Dragon Buster II - Yami no Fuuin
Dragon Fighter
Dragon Power
Atlantis no Nazo
Dragon Scroll - Yomigaerishi Maryuu
Dragon Spirit - The New Legend
Dragon Warrior
Attack of the Killer Tomatoes
Dragon Warrior II
Attack Animal Gakuen
Dragon Warrior III
Auto-Upturn
Dragon Warrior IV
Dragon Wars
Dragon, The
Dragon's Lair
Dream Master
Dreamworld Pogie
Aussie Rules Footy
Driar
Drop Zone
Dropoff 7 Demo
Druid - Kyoufu no Tobira
AV Hanafuda Club
Duck
Duck Hunt
DuckTales
DuckTales 2
AV Mahjongg
Dudes With Attitude
Dungeon Kid
Dungeon Magic - Sword of the Elements
AV Jiu Ji Ma Jiang 2
Dusty Diamond's All-Star Softball
DVD Screensaver for NES FC
Dynamite Bowl
Dynowarz - The Destruction of Spondylus
EarthWorm Jim 2 (KaSing)
EarthWorm Jim 2 (SuperGame)
EarthWorm Jim 3
Education Games 18-in-1
Educational Computer 2000
Egger Land
AV Mei Shao Nv Zhan Shi
Egger Land - Meikyuu no Fukkatsu
Babel no Tou
Egger Land - Souzou e no Tabidachi
Baby Boomer
Egypt
El Monstruo de Los Globos
Electrician
Elevator Action
Back to the Future Part II & III
Eliminator Boat Duel
Back to the Future
Elite
Elysion
Emi-chan no Moero Yakyuuken!
Emoyan no 10 Bai Pro Yakyuu
English Word Blaster V1.0
Erika to Satoru no Yume Bouken
Backgammon
Erunaaku no Zaihou
Escape From Atlantis, The
Esper Bouken Tai
Esper Dream
Bad Dudes
Esper Dream 2 - Aratanaru Tatakai
Excitebike
Baken Hisshou Gaku - Gate In
Exciting Baseball
Exciting Basket
Bad News Baseball
Exciting Billiard
Exciting Boxing
Exciting Soccer - Konami Cup
Exed Exes
Exerion
Exodus - Journey to the Promised Land
Exploding Fist
F1 Circus
F-1 Race
F-15 City War
F-15 City War (Gulk Video)
Bad Street Brawler
F-15 Strike Eagle
F-117A Stealth Fighter
Facemaker
Fairy Pinball - Yousei Tachi no Pinball
Fairytale
Falsion
Famicom Doubutsu Seitai Zukan! - Katte ni Shirokuma - Mori wo Sukue no Maki!
Famicom Grand Prix - F1 Race
Famicom Grand Prix II - 3D Hot Rally
Bakushou! Star Monomane Shitennou
Famicom Igo Nyuumon
Famicom Jump - Eiyuu Retsuden
Bakushou!! Ai no Gekijou
Famicom Jump II - Saikyou no 7 Nin
Bakushou!! Jinsei Gekijou
Famicom Meijin Sen
Bakushou!! Jinsei Gekijou 2
Famicom Mukashibanashi - Shin Onigashima - Kouhen
Bakushou!! Jinsei Gekijou 3
Famicom Mukashibanashi - Shin Onigashima - Zenpen
Famicom Mukashibanashi - Yuuyuuki - Kouhen
Famicom Mukashibanashi - Yuuyuuki - Zenpen
Famicom Shougi - Ryuuousen
Famicom Tantei Club - Kieta Koukeisha - Kouhen
Famicom Tantei Club - Kieta Koukeisha - Zenpen
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Kouhen
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Zenpen
Famicom Top Management
Famicom Wars
Bakutoushi Patton-kun
Famicom Yakyuu Ban
Family BASIC
Family Circuit
Balda by Alexander Chudov
Family Circuit '91
Family Composer
Family Feud
Family Jockey
Family Mahjong
Family Mahjong II - Shanghai e no Michi
Family Quiz - 4-nin wa Rival
Family School
Family Tennis
Balda
Sting
Family Trainer 1 - Athletic World
Ball Story - Jong Yuk Chuen Suet Fa Jong II
Family Trainer 2 - Running Stadium
Ballblazer
Family Trainer 3 - Aerobics Studio
Family Trainer 4 - Jogging Race
Balloon Fight
Family Trainer 5 - Meiro Daisakusen
Balloon Monster
Family Trainer 6 - Manhattan Police
Family Trainer 7 - Daiundoukai
Baltron
Family Trainer 8 - Totsugeki! Fuuun Takeshi Jou
Family Trainer 9 - Fuuun!! Takeshi Jou 2
Famista '89 - Kaimaku Han!!
Famista '90
Famista '91
Famista '92
Famista '93
Famista '94
Banana
Fan Kong Jing Ying
Bananan Ouji no Daibouken
Fantastic Adventures of Dizzy, The
Fantasy Zone (J)
Fantasy Zone (U)
Faria - A World of Mystery & Danger!
Fatal Fury 2
Faxanadu
Felix the Cat
Felix the Cat by Dragon Co
Ferrari - Grand Prix Challenge
Fester's Quest
Field Combat
Fighting Hero
Bandit Kings of Ancient China
Fighting Hero III
Fighting Road
Final Combat
Final Command - Akai Yousai
Final Fantasy
Bao Qing Tian
Final Fantasy I & II
Final Fantasy II
Bao Xiao San Guo
Final Fantasy III
Barbie
Final Fantasy VII
Final Fight 3
Final Lap
Fire Bam
Fire Dragon
Fire Emblem - Ankoku Ryuu to Hikari no Tsurugi
Barcode World
Fire Emblem Gaiden
Fire Hawk
Fire 'n Ice
Fire Rock
Firehouse Rescue
Fist of the North Star
Flappy
Fleet Commander
Flight of the Intruder
Flintstones, The - The Rescue of Dino & Hoppy
Bandai Golf - Challenge Pebble Beach
Flintstones, The - The Surprise at Dinosaur Peak!
Flipull - An Exciting Cube Game
Bard's Tale II, The - The Destiny Knight
Flying Dragon - The Secret Scroll
Flying Hero
Flying Warriors
Bard's Tale, The - Tales of the Unknown
Fong Shen Bang - Zhu Lu Zhi Zhan
Formation Z
Barker Bill's Trick Shooting
Formula 1 Sensation
Formula One - Built To Win
Baseball
Frankenstein - The Monster Returns
Free Fall
Freedom Force
Friday the 13th
From Below
Front Line
Fun House
Fushigi no Umi no Nadia
Base Wars - Cyber Stadium Series
Fuuun Shourin Ken
Fuzzical Fighter
G.I. Joe
G.I. Joe - The Atlantis Factor
Gaiapolis
Galaga - Demons of Death
Galaxian
Galaxxon - The Third War
Galaxy 5000
Gall Force - Eternal Story
Gambler Jiko Chuushin Ha - Mahjong Game
Gambler Jiko Chuushin Ha 2
Game Genie
Game Master Kid
Game no Tatsujin - Money Wars
Game Party
Ganbare Goemon 2
Ganbare Goemon Gaiden - Kieta Ougon Kiseru
Ganbare Goemon Gaiden 2 - Tenka no Zaihou
Baseball Fighter
Ganbare Goemon! - Karakuri Douchuu
Ganbare Pennant Race!
Ganso Saiyuuki - Super Monkey Daibouken
Garfield - A Week of Garfield
Gargoyle's Quest II - The Demon Darkness
Garou Densetsu Special
Gauntlet
Gauntlet II
Baseball Simulator 1.000
Ge Ge Ge no Kitarou 2 - Youkai Gundan no Chousen
Geimos
Gekitotsu Yonku Battle
Gemfire
Genghis Khan
Genpei Touma Den - Computer Boardgame
George Foreman's KO Boxing
German Tanteidan MarinGumi - Maruhi Jigomar Sousa File
Getsufuu Maden
Ghostbusters
Ghostbusters II
Baseball Stars
Ghosts 'N Goblins
Ghoul School
Gimmi a Break - Shijou Saikyou no Quiz Ou Ketteisen
Gimmi a Break - Shijou Saikyou no Quiz Ou Ketteisen 2
Ginga Denshou - Galaxy Odyssey
Bases Loaded
Ginga Eiyuu Densetsu
Ginga no Sannin
GLITCHNES
Gluk the Thunder Warrior
Go! Benny!
Baseball Stars II
Goal!
Goal! Two
Godzilla - Monster of Monsters!
Bases Loaded 3
Godzilla 2 - War of the Monsters
Gokuraku Yuugi - Game Tengoku
Gold Medal Challenge '92
Bases Loaded 4
Golf
Bases Loaded II
Golf - Japan Course
Golf - Special Course
Golf - US Course
Golf '92, The
Golf Club - Birdy Rush
Golf Grand Slam
Golf Japan Course - Nyuushou
Golf Ko Open
Golf, The - Bishoujo Classic
Golgo 13 - Top Secret Episode
Gomoku Narabe
Batman
Gomoku Narabe Renju
Goonies II, The
Goonies, The
Gorby no Pipeline Daisakusen
Gorilla Man, The
Batman - Return of the Joker
Gotcha! - The Sport!
Batman Returns
Gozonji - Yaji Kita Chin Douchuu
Gradius
Gradius II
Gran Aventura Submarina, La
Grand Master
Battle Baseball
Great Battle Cyber
Great Deal
Great Waldo Search, The
Great Wall, The
Green Beret
Greg Norman's Golf Power
Gremlins 2 - The New Batch
Gu Mu Li Ying
Battle Chess
Guardian Legend, The
Guerrilla War
Gumshoe
Gun.Smoke
Gun-Nac
Gyrodine
Gyromite
Gyruss
Haja no Fuuin
Halley Wars
Hammerin' Harry
Battle City
Hana no Star Kaidou
Hanafuda Yuukyou Den - Nagarebana Oryuu
Hao-kun no Fushigi na Tabi
Battle Fleet
Happy Camper (Watermarked by RetroUSB-NintendoAge)
Happy Pairs
Battle of Olympus, The
Harlem Globetrotters
Harry's Legend
Hatris
Battle Stadium - Senbatsu Pro Yakyuu
Hayama Reiko no Date de Blackjack
Battle Storm
Hayauchi Super Igo
Heavy Barrel
Heavy Shreddin'
Heisei Tensai Bakabon
Hell Fighter
Hello Kitty no Ohanabatake
Battle Tank
Hello Kitty World
Herakles no Eikou - Toujin Makyou Den
Herakles no Eikou II - Titan no Metsubou
Hero Quest
Hi no Tori - Houou Hen - Gaou no Bouken
Battleship
Higemaru Makaijima - Nanatsu no Shima Daibouken
High Speed
Hikari Genji - Roller Panic
Hikari no Senshi Photon - The Ultimate Game on Planet Earth
Hikaru Genji - Roller Panic
Hirake! Ponkikki
Hiryuu no Ken II - Dragon no Tsubasa
Hiryuu no Ken III - 5 Nin no Ryuu Senshi
Hiryuu no Ken Special - Fighting Wars
Hissatsu Doujou Yaburi
Battletoads
Hissatsu Shigoto Nin
Hit Marmot
Hit the Ice
Hogan's Alley
Hokkaidou Rensa Satsujin - Okhotsk ni Kiyu
Hokuto no Ken
Hokuto no Ken 3 - Shin Seiki Souzou Seiken Restuden
Hokuto no Ken 4 - Shichisei Haken Den - Hokuto Shinken no Kanata e
Bee 52
Hollywood Squares
Holy Diver
Home Alone
Home Alone 2 - Lost in New York
Battletoads & Double Dragon - The Ultimate Team
Home Run Nighter - Pennant League!!
Home Run Nighter '90 - The Pennant League
Hon Shougi - Naitou 9 Dan Shougi Hiden
Beauty and the Beast
Honoo no Doukyuuji - Dodge Danpei
Be-Bop-Highschool - Koukousei Gokuraku Densetsu
Honoo no Doukyuuji - Dodge Danpei 2
Beetlejuice
Hook
Berzerk
Hoops
Best Keiba - Derby Stallion
Hoshi wo Miru Hito
Hot Seat Harry
Hot Slot
Hototogisu
Hottaaman no Chitei Tanken
Huang Di - Zhuo Lu Zhi Zhan
Hudson Hawk
Huge Insect
Hunt for Red October, The
Best of the Best - Championship Karate
HVC Kensa Cassette Controller Test
Hyakkiyakou
Best Play Pro Yakyuu '90
Hyaku no Sekai no Monogatari - The Tales on a Watery Wilderness
Hydlide
Best Play Pro Yakyuu
Hydlide 3 - Yami Kara no Houmonsha
I Am a Teacher - Super Mario no Sweater
I Am a Teacher - Teami no Kiso
I Can Remember
I Love Softball
Ice Climber
Ice Hockey
Ide Yousuke Meijin no Jissen Mahjong
Ide Yousuke Meijin no Jissen Mahjong II
Idol Hakkenden
Idol Hotline - Nakayama Miho no Tokimeki High School
Igo - Kyuu Roban Taikyoku
Igo Meikan
Igo Shinan
Igo Shinan '91
Igo Shinan '92
Igo Shinan '93
Igo Shinan '94
Ikari III - The Rescue
Ikari Warriors
Bible Buffet
Ikari Warriors II - Victory Road
Ike Ike! Nekketsu Hockey-bu - Subette Koronde Dai Rantou
Ikinari Musician
Joy Mech Fight
Ikki
Image Fight
Immortal, The
Impossible Mission II
Incredible Crash Dummies, The
Indiana Jones and the Last Crusade (Taito)
Indiana Jones and the Last Crusade (UBI Soft)
Indiana Jones and the Temple of Doom
Indora no Hikari
Infiltrator
Insector X
International Cricket (A)
International Cricket (Unl)
Iron Tank - The Invasion of Normandy
Joypad Test Cartridge
Ironsword - Wizards & Warriors II
Isaki Shuugorou no Keiba Hisshou Gaku
Ishidou
Ishin no Arashi
Isolated Warrior
Itadaki Street - Watashi no Mise ni Yottette
Ivan Ironman Stewart's Super Off-Road
Jaaman Tanteidan - Matonarikumi
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf
Jackal
Jackie Chan's Action Kung Fu
Jackpot
Jajamaru Gekimaden - Maboroshi no Kinmajou
Jungle Book, The
Jajamaru Ninpou Chou
Jajamaru no Daibouken
James Bond Jr
Jumbo Ozaki no Hole in One Professional
Janggun ui Adeul (General's Son)
Janggun-ui Adeul
Jumpin' Kid - Jack to Mame no Ki Monogatari
Jarinko Chie - Bakudan Musume no Shiawase Sagashi
Jurassic Boy 2
Jaws
Jeopardy!
Jesus - Kyoufu no Bio Monster
Jurassic Park
Jetsons, The - Cogswell's Caper!
Jikai Shounen Met Mag
Jikuu Yuuden - Debias
Jim Henson's Muppet Adventure - Chaos at the Carnival
Jimmy Connor's Tennis
Jin Yong Qun Xia Zhuan - Shu Jian Jiang Shan
JJ - Tobidase Daisakusen Part 2
J-League Fighting Soccer - The King of Ace Strikers
J-League Winning Goal
Joe & Mac - Caveman Ninja
John Elway's Quarterback
Jongbou
Jordan Vs Bird - One On One
Joshua & the Battle of Jericho
Just Breed
Journey to Silius
Juuouki
Journey to the West
Juvei Quest
Joust
Jovial Race
'89 Dennou Kyuusei Uranai
Kabushiki Doujou
720
Kagerou Densetsu
1942
1943 - The Battle of Midway
Kabuki - Quantum Fighter
1991 Du Ma Racing
Kaettekita! Gunjin Shougi - Nanya Sore!
1999 - Hore, Mitakotoka! Seikimatsu
Kaguya Hime Densetsu
2048
A Ressha de Ikou
Aa Yakyuu Jinsei Icchokusen
Abadox - The Deadly Inner War
Adan y Eva
Kalin no Tsurugi
Addams Family, The
Addams Family, The - Pugsley's Scavenger Hunt
Adian no Tsue
Advanced Dungeons & Dragons - Dragon Strike
Advanced Dungeons & Dragons - Dragons of Flame
Kaijuu Monogatari
Advanced Dungeons & Dragons - Heroes of the Lance
Advanced Dungeons & Dragons - Hillsfar
Advanced Dungeons & Dragons - Pool of Radiance
Adventure Island
Kamen no Ninja - Akakage
Adventure Island 3
Stinger
Adventure Island II
Adventures in the Magic Kingdom
Adventures of Bayou Billy, The
Kaiketsu Yanchamaru 2 - Karakuri Land
Adventures of Captain Comic, The
Adventures of Dino Riki, The
Adventures of Dr. Franken, The
Adventures of Gilligan's Island, The
Strategist
Adventures of Lolo
Streemerz
Adventures of Lolo 2
Street Blaster II Pro
Adventures of Lolo 3
Adventures of Rad Gravity, The
Adventures of Rocky and Bullwinkle and Friends, The
Adventures of Tom Sawyer
After Burner
Ai Sensei no Oshiete - Watashi no Hoshi
Ai Senshi Nicol
Kaiketsu Yanchamaru 3 - Taiketsu! Zouringen
Aigiina no Yogen - From The Legend of Balubalouk
Air Fortress
Airball
Airwolf (J)
Kamen Rider Black - Taiketsu Shadow Moon
Kamen Rider Club - Gekitotsu Shocker Land
Kamen Rider SD - Guranshokkaa no Yabou
Kanshakudama Nage Kantarou no Toukaidou Gojuusan Tsugi
Karakuri Kengou Den - Musashi Road - Karakuribito Hashiru!
Karaoke Studio
Karate Champ
Karate Kid, The
Karateka
Karnov
Kart Fighter
Kattobi! Douji
Street Cop
Kawa no Nushi Tsuri
Keiba Simulation - Honmei
Kekkyoku Nankyoku Daibouken
Kero Kero Keroppi no Daibouken
Kero Kero Keroppi no Daibouken 2 - Donuts Ike ha Oosawagi!
Keroppi to Keroriinu no Splash Bomb!
Kick and Run
Kick Challenger - Air Foot - Yasai no Kuni no Ashi Senshi
Kick Master
Kick Off
Kickle Cubicle
Kid Icarus
Kid Klown
Kid Kool and the Quest for the 7 Wonder Herbs
Kid Niki - Radical Ninja
Kidou Keisatsu Patlabor
Kieta Princess
Kiki Kaikai - Dotou Hen
Kind Gal's
King Kong 2 - Ikari no Megaton Punch
King Neptune's Adventure
King of Fighters 96, The
King of Fighters 97, The
King of Kings
King of Kings - The Early Years
King's Knight
Street Fighter Zero 2 '97
Kings of the Beach
King's Quest V
Kinnikuman - Kinnikusei Oui Soudatsusen
Street Fighter IV
Kirby's Adventure
Street Heroes
Kiteretsu Dai Hyakka
Kitty's Catch
Kiwi Kraze - A Bird-Brained Adventure!
Kkachi-wa Norae Chingu
Klash Ball
Strider
Klax
Street Fighter 2010 - The Final Fight
Knight Lore - Majou no Ookami Otoko
Knight Move
Knight Rider
Kobayashi Hitomi no Hold Up
Street Fighter II - The World Warrior
Kobayashi Hitomi Shocking Tennis
Koko Adventure
Strike Wolf
Konami Hyper Soccer
Stunt Kids
Konamic Ice Hockey
Konamic Tennis
Koneko Monogatari - The Adventures of Chatran
Sudoku
Kouryuu Densetsu Villgust Gaiden
Koushien
Krazy Kreatures
Sugoro Quest - Dice no Senshitachi
Krion Conquest, The
Sukeban Deka 3
Krusty's Fun House
Kujaku Ou
Kujaku Ou 2
Kung Fu
Kung-Fu Heroes
Suishou no Dragon
Kunio-kun no Nekketsu Soccer League
Kurogane Hiroshi no Yosou Daisuki! Kachiuma Densetsu
Kyatto Ninden Teyandee
Kyonshiizu 2
Kyouryuu Sentai Juuranger
Kyuukyoku Harikiri Koushien
Kyuukyoku Harikiri Stadium
Kyuukyoku Harikiri Stadium 3
Labyrinth
Lagrange Point
Lan Master
Laser Invasion
Last Action Hero
Last Armageddon
Last Ninja, The
Last Starfighter, The
Law of the West
Lawn Mower
Sunman
Layla
Lee Trevino's Fighting Golf
Summer Carnival '92 - Recca
Legacy of the Wizard
Sunday Funday (Wisdom Tree)
Legend of Kage, The
Legend of Prince Valiant, The
Legend of Robin Hood, The
Legend of the Ghost Lion
Super Arabian
Legend of Zelda, The
Legendary Wings
Legends of the Diamond - The Baseball Championship Game
Lemmings
L'Empereur
Super Black Onyx
Lethal Weapon (Ch)
Super Boy Allan
Lethal Weapon (UE)
Life Force
LIKO Study Cartridge 3-in-1
Super C
Lin Ze Xu Jin Yan
Super Cars
Linus Spacehead's Cosmic Crusade
Lion King III, The - Timon and Pumba
Super Chinese 3
Lion King, The (E)
Super Contra 7
Lion King, The (Unl)
Lipstick #1 - Lolita Hen
Lipstick #2 - Joshi Gakusei Hen
Super Contra X
Lipstick #3 - OL Hen
Super Dodge Ball
Lipstick #4 - Hakui no Tenshi Hen
Lipstick #5 - Stewardess Hen
Little League Baseball - Championship Series
Little Magic
Super Dyna'mix Badminton
Little Mermaid, The
Little Nemo - The Dream Master
Little Ninja Brothers
Little Red Hood
Little Samson
Locksmith
Lode Runner
Lone Ranger, The
Super Donkey Kong
Loopz
Super Donkey Kong 2
Lost Word of Jenny
Lot Lot
Low G Man - The Low Gravity Man
Lu Ye Xian Zong
Lucky 777
Lunar Pool
Lupin Sansei - Pandora no Isan
Lutter
M.C. Kids
M.U.L.E.
M.U.S.C.L.E.
M82 Game Selectable Working Product Display
Mach Rider
Mad Max
Madou Senki - Deep Dungeon
Maerchen Veil
Mafat Conspiracy - Golgo 13
Magic Block
Magic Block (Mega Soft)
Magic Bubble
Magic Bubble (DreamGEAR)
Super Glove Ball
Magic Candle, The
Super Jeopardy!
Magic Carpet 1001
Magic Cubes
Magic Darts
Magic Dragon
Magic Jewelry
Magic Jewelry 2
Magic Johnson's Fast Break
Magic Kid Googoo
Magic Mathematic
Magic of Scheherazade, The
Magical Taruruuto-kun - Fantastic World!!
Magical Taruruuto-kun 2 - Mahou Daibouken
Magician
Magma Project - Hacker
Magmax
Magnum Kiki Ippatsu - Empire City - 1931
Maharaja
Super Mario Bros. + Duck Hunt
Mahjang Companion
Mahjong
Mahjong Block
Mahjong Club - Nagatachou
Super Donkey Kong - Xiang Jiao Chuan
Mahjong Goraku - Bishoujo Meijinsen
Mahjong Kazoku
Mahjong RPG Dora Dora Dora
Mahjong Taikai
Mahjong Taisen
Mahjong World
Mahou no Princess Minky Momo - Remember Dream
Super Lode Runner
MAIN
Maison Ikkoku
Majaventure - Mahjong Senki
Major League
Major League Baseball
Majou Densetsu II - Daimashikyou Galious
Manhole
Super Lode Runner II
Maniac Mansion (J)
Super Mario Bros.
Maniac Mansion (UE)
Super Mario Bros. 3
Mappy
Mappy Kids
Mappy-Land
Marble Madness
Marchen Veil
Mario Bros.
Super Mario Bros. 2 (J)
Mario is Missing!
Mario's Time Machine!
Marusa no Onna
Mashin Eiyuu Den Wataru Gaiden
Masmix
Master Chu & The Drunkard Hu
Master Shooter
Super Mario Bros. + Tetris + Nintendo World Cup
Masuzoe Youichi - Asa Made Famicom
Super Mario Bros. 2 (U)
Matou no Houkai - The Hero of Babel
Matsumoto Tooru no Kabushiki Hisshou Gaku
Super Momotarou Dentetsu
Mechanized Attack
Mega Man
Mega Man 2
Mega Man 3
Mega Man 4
Mega Man 5
Mega Man 6
Mei Nu Quan (Honey Peach)
Super Mario Bros. + Duck Hunt + World Class Track Meet
